Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Polan Stronk,Los Angeles Stars,SG,7,17,17,16.7,25.8,11.2,15.8,70.6,2.9,4.8,59.8,0.5,0.5,100,1.7,0.2,0.9,0.4,0.2,0.6,1.4,14.1,0,0,0,57.1,80.2,79.7
Sham Morant,Houston Cosmos,G,2,19,19,19.3,19.3,8.1,14.4,56.2,2.4,4.2,58.2,0.6,0.6,100,3.2,0.7,0.0,0.7,0.5,0.6,1.0,-2.9,0,0,0,34.3,65.5,64.6
Zane Cruz,Chicago Blues,G,4,12,12,22.5,18.4,7.2,14.2,50.6,3.3,6.7,50.0,0.8,0.8,100,2.6,0.4,6.4,0.7,0.3,0.3,1.1,-0.3,1,0,0,35.8,63.5,62.4
Landon Curry,Utah Summit,G,R,5,5,15.6,16.8,7.4,12.4,59.7,1.4,3.0,46.7,0.6,0.6,100,3.2,0.8,0.0,0.4,0.6,0.0,0.6,-5.2,0,0,0,39.7,66.3,65.3
Jay Gray,Detroit Drift,G,17,4,4,20.4,16.8,7.5,18.5,40.5,1.5,4.3,35.3,0.3,0.3,100,1.3,0.3,0.3,0.5,0.3,0.5,1.3,-21.3,0,0,0,14.5,45.0,44.6
Carl Joseph,Los Angeles Stars,G,14,17,17,18.1,15.2,6.0,10.9,54.8,2.6,4.0,64.7,0.6,0.6,100,3.0,0.8,14.5,1.2,0.9,0.1,0.3,15.8,12,0,0,62.5,67.9,66.7
Jerami Junior,New York Empire,SG,1,3,0,11.2,15.0,6.0,9.7,62.1,3.0,4.0,75.0,0.0,0.0,-,1.3,0.0,0.3,0.7,0.3,1.0,1.0,9.3,0,0,0,47.7,77.6,77.6
Jordan Frazier,Portland Roses,F,8,1,1,15.3,15.0,6.0,11.0,54.5,2.0,4.0,50.0,1.0,1.0,100,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0,0,0,40.2,65.6,63.6
Darth Jor-El,San Francisco Quakes,C,6,12,12,15.8,15.0,7.0,11.5,60.9,0.7,1.6,42.1,0.3,0.4,80.0,8.9,1.8,1.3,0.9,1.5,0.2,0.5,2.3,6,0,0,49.0,64.2,63.8
Guy Chug,New York Empire,G,5,7,7,19.6,14.1,5.9,12.0,48.8,2.0,4.4,45.2,0.4,0.4,100,3.3,0.6,4.0,1.1,0.4,0.6,0.9,-4.7,0,0,0,31.1,58.0,57.1
George Georgeson,Utah Summit,F,3,5,5,21.0,14.0,6.2,14.6,42.5,1.4,3.8,36.8,0.2,0.4,50.0,3.8,0.8,1.8,0.4,0.6,0.0,1.6,-7.6,0,0,0,18.0,47.4,47.3
Rlo Joe,Washington Agents,G,R,11,11,17.0,13.9,6.1,13.8,44.1,1.4,4.1,33.3,0.4,0.4,100,3.5,1.1,0.8,0.5,0.5,0.4,1.3,-2.3,0,0,0,22.7,49.8,49.0
RJ Irving,Indiana Overdrive,G,2,17,17,15.2,13.9,5.5,9.4,58.8,2.2,3.6,59.7,0.6,0.6,100,2.9,0.8,7.9,1.0,0.9,0.2,0.4,3.6,2,0,0,57.2,71.6,70.3
Tyler Gaines,New Orleans Airmen,G,3,6,6,15.6,13.8,5.3,10.7,50.0,1.3,3.2,42.1,1.8,1.8,100,3.8,0.8,1.7,0.7,0.2,0.3,0.5,1.3,1,0,0,35.2,60.3,56.3
Tone Show,Boston Charms,F,6,7,7,22.7,13.6,5.9,14.6,40.2,1.4,4.3,33.3,0.4,0.7,60.0,5.4,0.6,0.0,0.9,1.3,0.3,0.6,-10.0,0,0,0,17.8,45.6,45.1
Elijah Rose,Boston Charms,C,3,7,7,16.0,13.4,6.4,10.6,60.8,0.3,1.6,18.2,0.3,0.3,100,10.0,1.9,0.0,0.6,0.7,0.6,0.9,-6.1,3,0,0,38.3,62.8,62.2
Beef Jerkey,Phoenix Firebirds,C,3,9,9,15.5,13.2,6.3,11.1,57.0,0.4,2.3,19.0,0.1,0.2,50.0,7.8,1.4,1.3,0.2,1.2,0.3,0.6,-4.9,1,0,0,38.9,59.0,59.0
Captain Price,Miami Tides,F,4,6,6,18.7,13.2,5.7,12.7,44.7,1.5,3.3,45.0,0.3,0.7,50.0,5.8,0.8,4.8,0.5,1.2,0.2,1.2,-4.3,1,0,0,31.0,50.8,50.7
Aaron Ford,San Diego Surf,G,4,5,5,16.7,12.8,5.6,10.8,51.9,0.6,2.2,27.3,1.0,1.2,83.3,4.4,0.6,7.4,0.6,0.6,0.2,1.4,-3.0,1,0,0,39.7,56.5,54.6
Dizzy Michaels,Washington Agents,G,4,11,11,16.8,12.7,5.3,10.1,52.3,1.7,3.3,52.8,0.5,0.5,100,7.1,1.3,8.8,0.5,1.5,0.4,0.9,1.1,3,1,0,50.5,61.8,60.8
Anthony Bridges,New York Empire,SF,16,7,7,16.9,12.7,5.4,10.9,50.0,1.4,4.0,35.7,0.4,0.4,100,4.4,0.7,1.4,1.0,1.9,0.4,1.0,1.7,0,0,0,32.3,57.6,56.6
Pres Manu,Boston Charms,F,3,7,7,19.7,12.6,5.6,13.4,41.5,1.1,3.9,29.6,0.3,0.4,66.7,6.4,1.3,0.4,0.4,0.6,0.3,0.3,-5.6,1,0,0,20.6,46.2,45.7
Terrance Stafford,Miami Tides,C,2,6,6,18.4,12.3,5.7,12.3,45.9,0.8,3.2,26.3,0.2,0.3,50.0,7.2,0.7,0.3,0.3,1.5,0.2,1.7,-1.8,0,0,0,21.3,49.4,49.3
Lamarr Chambers,San Diego Surf,F,6,5,5,15.6,12.0,5.2,7.8,66.7,1.6,3.0,53.3,0.0,0.0,-,4.0,0.6,2.4,0.0,0.6,0.4,1.0,-2.2,0,0,0,35.1,76.9,76.9
Caleb White,Atlanta Talons,F,R,16,16,16.6,11.9,5.7,9.6,59.1,0.3,1.5,20.8,0.3,0.6,44.4,7.1,1.8,1.6,0.4,2.1,0.2,1.0,3.9,2,0,0,36.3,60.5,60.7
Daren Scorpio,Phoenix Firebirds,G,5,9,9,14.8,11.8,4.8,8.9,53.8,1.3,2.8,48.0,0.9,0.9,100,1.1,0.0,0.1,0.8,0.6,0.2,1.1,-2.9,0,0,0,25.7,63.5,61.3
Tobias Miller,New York Empire,F,4,7,7,17.3,11.6,4.9,9.6,50.7,1.6,3.0,52.4,0.3,0.4,66.7,6.9,0.7,1.1,0.7,1.1,0.4,0.7,-1.1,0,0,0,30.1,59.3,59.0
Koby Williams,Indiana Overdrive,F,1,17,17,16.3,11.2,5.3,9.6,54.9,0.5,1.9,27.3,0.1,0.3,40.0,6.9,1.2,1.9,0.7,1.1,0.5,0.5,2.7,3,0,0,34.0,57.5,57.6
Jon Rahm,Atlanta Talons,G,6,16,3,16.0,11.1,4.4,8.6,51.8,1.7,3.4,50.0,0.6,0.6,100,2.8,0.5,5.2,0.7,0.5,0.4,0.4,5.9,1,0,0,37.1,63.1,61.7
Emmius One,Atlanta Talons,G,2,13,13,18.2,11.0,4.2,10.4,40.0,1.9,4.5,43.1,0.8,0.8,100,4.4,0.6,5.4,1.2,1.1,0.3,0.8,0.3,0,0,0,31.4,51.3,49.3
Just Jaos,San Francisco Quakes,G,16,12,12,15.9,10.9,4.3,7.4,57.3,1.9,2.8,67.6,0.5,0.6,85.7,2.9,0.8,4.3,0.8,0.4,0.2,0.5,5.8,0,0,0,37.9,71.1,70.2
Zahir Catlett,Indiana Overdrive,G,2,15,15,15.5,10.9,4.9,9.5,51.7,0.8,2.5,31.6,0.2,0.3,75.0,2.6,0.7,0.1,0.1,0.5,0.1,0.8,2.3,0,0,0,21.3,56.3,55.9
Syndor Drago,Miami Tides,G,6,3,3,22.4,10.7,4.3,11.0,39.4,1.3,3.0,44.4,0.7,0.7,100,2.3,1.0,6.0,1.3,1.0,0.3,0.3,-2.7,0,0,0,25.3,47.2,45.5
Lo Bot,Houston Cosmos,F,3,19,19,15.1,10.4,4.4,10.1,44.0,1.1,3.0,35.1,0.5,0.5,100,5.1,1.2,1.5,0.3,1.1,0.2,0.5,-3.2,0,0,0,28.0,50.5,49.2
Kyron Hickman,San Francisco Quakes,G,7,12,12,15.5,10.3,4.2,8.5,49.0,1.5,3.6,41.9,0.5,0.5,100,3.7,0.7,5.8,0.6,0.3,0.1,0.7,5.2,0,0,0,36.3,59.3,57.8
