Player Name,Team,Position,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,PF,TO,+/-,DD,TD,POTG,PER,TS%,EFG%
Polan Stronk,Los Angeles Stars,SG,7,82,82,16.0,25.6,11.1,14.5,76.5,2.9,4.3,67.7,0.5,0.5,100,1.0,0.2,1.1,0.7,0.2,0.4,0.7,19.8,0,0,23,65.6,86.8,86.4
Sham Morant,Houston Cosmos,G,2,82,82,21.6,22.8,9.4,17.3,54.6,3.1,5.9,53.8,0.8,0.8,100,2.9,0.6,0.1,0.5,0.5,0.4,0.9,7.2,0,0,27,35.2,64.8,63.7
Daniel Pillay,San Antonio Sheriffs,G,13,82,82,21.0,19.7,8.6,18.7,46.1,1.9,5.3,35.7,0.6,1.0,62.5,2.5,0.6,0.4,0.6,0.2,0.3,1.2,-6.7,0,0,10,23.5,51.7,51.2
Jay Gray,Detroit Drift,G,17,82,82,20.4,19.4,8.5,18.0,47.0,2.1,5.1,40.8,0.4,0.5,89.5,2.3,0.5,0.1,0.5,0.2,0.4,1.2,-5.2,0,0,11,24.1,53.3,52.8
Conrad Schulz,Brooklyn Ballers,G,13,82,82,19.9,17.7,7.2,15.6,46.4,2.5,5.5,44.8,0.7,1.0,69.4,4.8,0.4,2.2,0.9,0.4,0.3,0.9,-5.2,1,0,20,30.9,55.0,54.3
Karl Shanidan,Dallas Knights,F,2,55,55,17.6,17.6,8.5,14.2,59.5,0.4,1.7,25.0,0.2,0.5,48.0,7.7,1.6,0.6,1.0,1.3,0.2,0.9,-0.7,12,0,15,43.0,60.9,61.0
Landon Curry,Utah Summit,G,R,82,82,17.5,16.9,7.3,13.0,55.7,1.8,3.9,46.5,0.6,0.6,100,3.9,0.7,0.4,0.5,0.6,0.4,0.8,4.4,2,0,13,34.6,63.7,62.6
Andre Romero,Cleveland Gladiators,G,17,77,77,20.4,16.4,7.1,17.5,40.8,1.6,4.6,34.4,0.6,0.9,58.9,1.8,0.3,0.1,0.5,0.2,0.5,1.0,-9.3,0,0,3,15.5,45.8,45.3
Martin Wright,Oklahoma City Outlaws,G,11,82,82,19.6,16.3,7.0,14.4,48.9,1.7,4.7,36.9,0.5,0.8,68.8,6.5,0.5,0.0,1.4,0.7,0.3,0.9,-3.8,12,0,21,29.6,55.5,54.9
Zane Cruz,Chicago Blues,G,4,82,82,20.0,15.8,6.2,11.9,52.5,2.8,5.4,51.5,0.6,0.6,100,3.9,0.8,7.6,0.9,0.6,0.4,0.7,5.7,11,0,41,42.9,65.3,64.1
Tyler Gaines,New Orleans Airmen,G,3,82,82,15.5,15.8,6.6,11.0,60.5,1.9,3.4,57.5,0.6,0.6,100,3.2,0.5,0.7,0.4,0.8,0.3,0.8,10.1,0,0,12,39.4,70.3,69.3
Anthony Bridges,New York Empire,SF,16,82,82,16.9,15.6,6.5,12.5,51.8,1.9,4.1,45.4,0.8,0.8,100,6.0,1.0,1.9,0.6,0.7,0.3,0.7,11.0,10,0,27,38.5,60.6,59.2
Carlos Machado,Toronto Towers,G,8,43,43,23.4,15.5,6.6,17.8,36.9,2.1,6.3,33.5,0.3,0.7,36.7,3.3,0.7,2.6,0.8,0.3,0.5,0.9,-9.4,0,0,7,16.8,42.8,42.8
Jack Cole,New Orleans Airmen,F,R,62,62,22.7,14.9,7.1,12.7,56.1,0.4,1.5,28.0,0.3,0.5,48.5,7.5,1.3,0.1,0.9,2.2,0.3,0.7,11.0,11,0,14,28.9,57.7,57.7
Emmius One,Atlanta Talons,G,2,67,67,22.3,14.8,5.7,12.9,44.2,2.4,5.3,44.9,1.0,1.1,98.6,6.0,1.1,7.4,1.6,1.3,0.4,0.8,10.7,21,2,32,37.7,55.5,53.4
Ray Norton,Charlotte Stingers,G,18,82,82,21.2,14.4,5.9,16.6,35.5,1.9,6.0,32.1,0.6,1.3,50.0,4.3,0.4,1.7,0.9,0.2,0.4,0.9,-10.7,1,0,10,15.8,41.8,41.3
Carl Joseph,Los Angeles Stars,G,14,82,82,17.3,14.4,5.5,9.8,56.5,2.9,4.3,67.6,0.4,0.4,100,2.6,0.4,14.2,1.1,0.6,0.3,0.6,19.6,58,0,41,61.4,71.9,71.2
Neil Hale,Milwaukee Spartans,G,17,85,85,20.5,13.8,5.8,15.2,38.0,1.8,5.1,34.4,0.6,1.1,49.0,4.0,0.5,3.1,0.7,0.2,0.5,1.0,-7.2,0,0,11,19.2,44.1,43.8
Caleb White,Atlanta Talons,F,R,82,82,18.1,13.7,6.6,11.0,59.8,0.3,0.9,28.6,0.3,0.6,44.0,8.7,1.7,0.6,0.6,1.5,0.3,0.7,8.0,26,0,19,36.1,60.8,61.1
Walter Yensid,Chicago Blues,G,17,82,82,17.6,13.7,5.9,13.0,45.1,1.3,3.5,38.2,0.6,0.7,80.0,1.5,0.3,0.0,0.9,0.2,0.4,0.8,4.4,0,0,4,20.0,51.2,50.2
Rlo Joe,Washington Agents,G,R,82,82,16.6,13.7,5.7,12.0,47.9,1.5,3.5,42.8,0.8,0.8,98.5,3.9,0.6,0.6,0.4,0.7,0.3,0.7,8.0,1,0,7,27.7,55.7,54.0
Clayton Murphy,Minnesota Sabers,G,15,82,82,18.0,13.5,6.0,13.6,44.3,1.0,3.5,27.2,0.5,0.7,74.1,4.5,0.8,2.9,0.7,0.6,0.3,0.9,-5.0,0,0,11,26.8,48.7,47.8
Sean McDonald,Minnesota Sabers,G,12,82,82,22.2,13.3,5.6,14.5,38.6,1.6,4.5,36.2,0.4,0.6,70.8,6.8,0.7,3.6,1.1,0.5,0.4,0.9,-5.6,12,0,13,22.6,44.9,44.2
Tone Show,Boston Charms,F,6,82,82,21.6,13.0,5.5,13.3,41.6,1.3,3.8,35.0,0.6,0.7,86.0,6.4,1.3,0.1,0.9,1.7,0.3,0.5,3.9,11,0,14,21.9,47.8,46.6
Nicholas Morrow,Orlando Orbiters,G,14,82,67,17.2,12.8,5.3,13.7,39.0,1.5,4.3,34.9,0.6,0.8,75.4,3.1,0.4,0.7,0.4,0.2,0.3,0.7,-8.1,0,0,4,17.5,45.6,44.6
Rajah Rose,Portland Roses,G,6,82,67,12.8,12.6,5.5,9.9,55.3,1.1,2.6,41.3,0.5,0.5,100,1.1,0.2,0.0,0.2,0.2,0.3,0.6,3.6,0,0,7,29.4,61.9,60.7
Dizzy Michaels,Washington Agents,G,4,82,82,17.0,12.4,5.1,11.2,46.0,1.5,3.6,42.7,0.6,0.6,96.1,6.5,1.2,7.9,0.9,1.2,0.4,0.6,7.3,19,1,47,45.4,54.2,52.8
Zahir Catlett,Indiana Overdrive,G,2,63,63,14.8,12.3,5.4,10.2,53.4,1.0,2.7,36.0,0.5,0.6,78.9,2.2,0.3,0.0,0.5,0.4,0.4,0.7,8.0,0,0,8,26.6,59.1,58.3
Pres Manu,Boston Charms,F,3,82,82,21.5,12.3,5.2,12.9,40.2,1.3,3.9,33.9,0.6,0.7,91.2,8.1,1.4,0.8,0.7,0.9,0.4,0.9,3.7,22,0,16,20.4,46.6,45.3
Jamie Spencer,Phoenix Firebirds,G,5,82,82,17.5,12.3,4.8,10.3,46.9,2.2,4.3,52.3,0.4,0.4,100,3.8,0.7,7.4,0.8,0.8,0.4,0.7,7.2,5,0,24,39.6,58.7,57.8
Antony King,San Francisco Quakes,F,3,82,82,15.7,12.2,5.2,10.5,49.8,1.0,2.9,35.3,0.7,0.7,100,5.4,0.9,0.4,0.3,0.6,0.4,0.6,5.2,3,0,11,28.2,56.3,54.6
Terrance Stafford,Miami Tides,C,2,82,82,17.2,12.1,5.7,11.9,47.9,0.4,2.0,21.6,0.2,0.5,47.5,9.3,1.6,0.1,0.3,0.9,0.4,0.4,0.9,29,0,10,27.6,49.8,49.7
Hugh Randall,Sacramento Royals,G,5,82,82,23.3,11.9,5.5,12.4,44.0,0.6,2.5,22.0,0.4,0.8,53.1,4.6,0.7,0.0,1.2,0.4,0.4,0.9,-13.6,6,0,1,15.0,46.6,46.3
Jason Terry,Philadelphia Founders,G,10,82,82,17.7,11.6,5.0,11.9,41.7,1.3,3.7,33.9,0.4,0.6,71.4,5.9,1.3,3.5,0.9,0.5,0.3,0.8,-7.0,8,0,8,28.0,47.8,47.0
Aaron Ford,San Diego Surf,G,4,82,82,16.8,11.5,5.0,11.1,45.0,1.3,3.0,41.4,0.3,0.4,80.6,5.1,1.0,8.7,0.9,0.7,0.4,0.6,4.3,21,3,20,42.1,51.3,50.7
Joey Bas,New Orleans Airmen,G,6,82,82,15.8,11.5,4.7,9.2,50.8,1.7,3.5,47.1,0.5,0.5,100,5.5,1.0,7.2,0.8,0.9,0.2,0.6,8.8,11,0,28,46.2,60.9,59.8
Harold Baldwin,Minnesota Sabers,G,12,51,0,9.9,11.5,5.2,8.8,58.9,0.5,1.6,32.1,0.6,0.6,100,1.2,0.2,1.4,0.2,0.1,0.2,0.4,0.1,0,0,0,42.5,63.3,61.9
