Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,OREB,AST,STL,BLK,TO,PF,GW
Los Angeles Stars,17,90.6,38.8,69.8,55.6,9.5,18.9,50.3,3.5,3.9,88.1,38.5,7.2,21.9,4.8,6.6,4.3,2.2,16
Indiana Overdrive,17,79.1,34.6,69.2,50,7.2,17.6,41,2.7,3.9,69.7,37.6,7.5,18.9,3.8,7.7,4.5,2.6,12
San Francisco Quakes,12,78.1,33.3,68.5,48.5,8.8,19.8,44.7,2.8,3.2,86.8,37.6,7.3,18.5,5.1,7,5.3,1.9,7
Atlanta Talons,16,76.3,32.5,69.1,47,7.1,20.8,34.2,4.1,5,82.5,37.8,7,20.9,4.4,7.6,4.3,1.9,8
Houston Cosmos,19,73.5,31.8,70.2,45.3,7.9,20.7,38.1,2,2.5,79.2,34.8,7.9,17.7,5.5,6.4,5.2,2.1,9
Phoenix Firebirds,9,73,30.8,70,44,6.9,21.1,32.6,4.6,5.3,85.4,34.6,7.4,15.9,5,4.9,4.1,2.6,4
New Orleans Airmen,7,71.7,30.1,67.4,44.7,7.1,20,35.7,4.3,5.3,81.1,33.7,6.9,16.4,6.3,6.1,4.7,0.9,3
Chicago Blues,12,71.3,30.1,69.3,43.4,8.4,23,36.6,2.7,4.1,65.3,36.2,7.8,12.3,5.4,4.7,3.8,1.7,5
Washington Agents,11,70.8,31,70.6,43.9,6.5,20.3,31.8,2.4,2.9,81.3,38.9,9.1,15.5,4.5,8.2,4.3,2.1,5
San Diego Surf,5,70.4,30.8,66.8,46.1,6.4,16,40,2.4,3.8,63.2,36.2,4.4,14.4,3.8,8,5.2,2.6,1
New York Empire,7,70.3,30.6,68.3,44.8,7.7,20.3,38,1.4,2.4,58.8,38.7,7.9,19.1,4.9,8.1,5.7,2.7,3
Boston Charms,7,66.6,29,69.9,41.5,6.6,21.9,30.1,2,2.6,77.8,36.6,6.4,20.6,4,5.1,4.3,3,3
Utah Summit,5,66,29.4,66.8,44,5.4,17.8,30.3,1.8,3.2,56.3,35.8,7.8,19.4,4,6.4,5.4,2.2,1
Miami Tides,6,64.3,28.5,65.7,43.4,6,17.5,34.3,1.3,2.3,57.1,35,5,13.7,4,6.2,5.2,1.7,2
Portland Roses,4,62,27,66.5,40.6,5.3,17.5,30,2.8,3.3,84.6,30.8,6.3,17.5,3,7.5,5.3,1.8,0
Detroit Drift,4,59.5,26.5,69.8,38,4.8,16.8,28.4,1.8,3.3,53.8,33.5,9.3,8.8,3.3,1.8,4,1.8,0
